sbe?ox[0-9]ML/L,oxygen,ml/l,SBE43
sbe?ox[0-9]Mg/L,oxygen,mg/l,SBE43
sbe?ox[0-9]Mm/Kg,oxygen,mu*mol/kg,SBE43
sbe?ox[0-9]Mm/L,oxygen,mu*mol/l,SBE43
sbe?ox[0-9]PS,oxygen,percent,SBE43
sbe?ox[0-9]V,oxygenRaw,V,SBE43
sbe?ox[0-9]dV/dT,oxygen,dov/dt,SBE43
scan,scan,,
seaTurbMtr[1]?,turbidity,FTU,Seapoint
secS-priS,salinityDifference,,PSS-78
sigma-1[0-9]{2},sigma1,kg/m^3,
sigma-2[0-9]{2},sigma2,kg/m^3,
sigma-3[0-9]{2},sigma3,kg/m^3,
sigma-4[0-9]{2},sigma4,kg/m^3,
sigma-[^0:9]00,sigmaTheta,kg/m^3,
sigma-t[0-9]{2},sigmaT,kg/m^3,
spar,spar,,
specc,specificConductance,mu*S/cm,
svCM[0-9]?,soundSpeed,m/s,Chen-Millero
sva,specificVolumeAnomaly,10^-8 * m^3 / kg,
t3836C1,temperature,degree*C,IPTS-68
t3868C,temperature,degree*C,IPTS-68
t3890C,temperature,degree*C,ITS-90
t3890C1,temperature,degree*C,ITS-90
t38_68Ctemperature,degree*C,IPTS-68
t38_90C,temperature,degree*C,ITS-90
t4968C,temperature,degree*C,IPTS-68
t4990C,temperature,degree*C,ITS-90
t[0-9]68((C)|(Cm))?,temperature,degree*C,IPTS-68
t[0-9]90((C)|(Cm))?,temperature,degree*C,ITS-90
timeH,timeH,hour,
timeJ,timeJ,day,
timeJV2,timeJV2,day,
timeK,timeK,s,since 2000-01-01
timeM,timeM,min,
timeN,timeN,s,NMEA since 1970-01-01
timeQ,timeQ,s,NMEA since 2000-01-01
timeS,timeS,s,
tnc268C,temperature,degree*C,IPTS-68
tnc290C,temperature,degree*C,ITS-90
tnc68C,temperature,degree*C,IPTS-68
tnc90C,temperature,degree*C,ITS-90
tsa,thermostericAnomaly,10^-8 * m^3 / kg,
turbWETbb[0-4],turbidity,1 / m * sr,WET Labs ECO
turbWETbbdiff,turbidityDifference,1 / m * sr,WET Labs ECO
turbWETntu[0-5],turbidity,NTU,WET Labs ECO
turbWETntudiff,turbidityDifference,NTU,WET Labs ECO
turbflTC[0-1],turbidity,NTU,Turner Cyclops
turbflTCdiff,turbidityDifference,NTU,Turner Cyclops
turbflTCdiff,turbidityDifference,NTU,Turner Cyclops
tv268C,temperature,degree*C,IPTS-68
tv290C,temperature,degree*C,ITS-90
upoly[0-2],upoly,,
user[1-5],user,,
wetBAttn,beamAttenuation,1/m,WET Labs AC3
wetBTrans,beamTransmission,percent,WET Labs AC3
wetCDOM[0-5]?,fluorescence,mg/m^3,WET Labs CDOM
wetCDOMdiff,fluorescenceDifference,mg/m^3,WET Labs CDOM
wetChAbs,fluorescence,1/m,WET Labs AC3 absorption
wetStar[0-9]?,fluorescence,mg/m^3,WET Labs WETstar
wetStardiff,fluorescenceDifference,mg/m^3,WET Labs WETstar
xmiss[0-9]?,beamTransmission,percent,Chelsea/Seatech
